feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,label
0.43948256625925,-0.2329148624999999,0.4152469155,0.2816311353582906,0.0206550643709777,0.0197833209539535,272.38170635261264,54.675538225878974,172.82098924044334,15.455944298,1.729591,1.1460525999999995,high
0.32144039417833,-0.2445458366,0.422619633,0.301755299547315,0.0209131734442731,0.0206280633956915,194.2891315536051,60.23958966108064,179.0324456795119,16.35705608,1.9808377,1.2010599000000004,high
0.25093368007351,-0.2565474487,0.4256418837,0.3093488979919863,0.0234411719572137,0.0205910081209002,158.56875574340216,66.36553248866406,181.59457878550387,14.942279290000002,1.8409463,1.1101048999999998,high
0.2493722522428,-0.2544858565,0.4321055394999999,0.2159471556515395,0.0452605177182482,0.0165419449456439,108.77306104860294,66.80951710819832,186.9885595732282,2.6043519700000006,0.8995779999999998,0.5913397999999999,high
0.3625805382579999,-0.1855126939999999,0.4268467591,0.3005490451236813,0.0559075554769373,0.0296656449271101,221.7040455196929,37.53748873978506,183.0773261926259,1.95310356,0.5809034999999995,0.6176106999999997,high
0.4949507473,-0.1682742824,0.4611152547,0.0464051454064965,0.0130401288680582,0.0358407469926212,247.1275263355064,28.486109033169623,213.91055270289,1.1033195000000002,0.3847340999999998,0.6396267,high
0.5092505051515152,-0.1739334839393939,0.4477566939393939,0.0293807006175254,0.0065184687532476,0.005274663857916,85.86490662116174,9.997422108725331,66.16955226321673,0.1913763999999998,0.0835868000000001,0.0746873000000001,high
0.3560031940237,-0.2447870765,0.4269711313,0.2676568565761034,0.011266697072835,0.0120278148634762,198.3068268344048,60.04752434588495,182.4488706256616,9.06262582,0.5213802999999999,0.4274890999999995,low
0.3663143374457979,-0.2292052127,0.4361073955,0.2884401787456879,0.0113175693693857,0.0145128339962521,217.3007327964835,52.662988817906665,190.40007213804563,10.31780393,0.6130176999999999,0.476883,low
0.3756477024257,-0.2200149652,0.4376991653,0.2939173953134207,0.008951991840442,0.0112377014224994,227.41224417026507,48.48664293171064,191.70671895164472,10.61988652,0.6142945,0.4517020000000007,low
0.35461873055006,-0.2220950439,0.4423268177,0.2939810636980592,0.0081834273918426,0.0140962593660471,212.0928850041653,49.39311004033661,195.8515194801957,10.74145949,0.6304850999999997,0.5337667999999998,low
0.376150697605,-0.2233164205,0.4371878348999999,0.2939235936174938,0.011141915484381,0.0146857929612333,227.7940351148648,49.99424180331325,191.3486598269349,10.51883004,0.6278384000000004,0.5725271999999995,low
0.36472167538006,-0.223314252,0.4424680575999999,0.2836634545336748,0.0090725753344833,0.0123144563043544,213.40639097457813,49.95148445789618,195.92947618455472,9.7447619,0.5464975,0.4725582999999994,low
0.4045512879496402,-0.2246643258992805,0.4401151741007194,0.3022988087555446,0.0073625339564615,0.0140841773181171,35.36005312581103,7.023374800181051,26.951864178845703,1.31101665,0.0918725999999998,0.0752772999999998,low
